show,brand,model,voltage,exp_capacity,current,type,cutoff,file,interval,comment,
1,Fake UltraFire,Blue,3.7,4800,300,Li-Ion,2.7,Fake-UltraFire-Blue.csv,1,NA,
0,UltraFire,Protected,3.7,2400,301,Li-Ion,2.7,UltraFire-Protected-2400mAh.csv,1,NA,
